date,
28/02/2014,68.46
03/03/2014,67.41
04/03/2014,68.8
05/03/2014,71.57
06/03/2014,70.84
07/03/2014,69.8
10/03/2014,72.03
11/03/2014,70.1
12/03/2014,70.88
13/03/2014,68.83
14/03/2014,67.72
17/03/2014,68.74
18/03/2014,69.19
19/03/2014,68.24
20/03/2014,66.97
21/03/2014,67.24
24/03/2014,64.1
25/03/2014,64.89
26/03/2014,60.38
27/03/2014,60.97
28/03/2014,60.01
31/03/2014,60.24
01/04/2014,62.62
02/04/2014,62.72
03/04/2014,59.49
04/04/2014,56.75
07/04/2014,56.95
08/04/2014,58.19
09/04/2014,62.41
10/04/2014,59.16
11/04/2014,58.53
14/04/2014,58.89
15/04/2014,59.09
16/04/2014,59.72
17/04/2014,58.94
21/04/2014,61.24
22/04/2014,63.03
23/04/2014,61.36
24/04/2014,60.87
25/04/2014,57.71
28/04/2014,56.14
29/04/2014,58.15
30/04/2014,59.78
01/05/2014,61.15
02/05/2014,60.46
05/05/2014,61.22
06/05/2014,58.53
07/05/2014,57.39
08/05/2014,56.76
09/05/2014,57.24
12/05/2014,59.83
13/05/2014,59.83
14/05/2014,59.23
15/05/2014,57.92
16/05/2014,58.02
19/05/2014,59.21
20/05/2014,58.56
21/05/2014,60.49
22/05/2014,60.52
23/05/2014,61.35
27/05/2014,63.48
28/05/2014,63.51
29/05/2014,63.83
30/05/2014,63.3
02/06/2014,63.08
03/06/2014,62.87
04/06/2014,63.34
05/06/2014,63.19
06/06/2014,62.5
09/06/2014,62.88
10/06/2014,65.77
11/06/2014,65.78
12/06/2014,64.29
13/06/2014,64.5
16/06/2014,64.19
17/06/2014,64.4
18/06/2014,65.6
19/06/2014,64.34
20/06/2014,64.5
23/06/2014,65.37
24/06/2014,65.72
25/06/2014,67.44
26/06/2014,67.13
27/06/2014,67.6
30/06/2014,67.29
01/07/2014,68.06
02/07/2014,66.45
03/07/2014,66.29
07/07/2014,65.29
08/07/2014,62.76
09/07/2014,64.97
10/07/2014,64.87
11/07/2014,66.34
14/07/2014,67.9
15/07/2014,67.16
16/07/2014,67.66
17/07/2014,66.41
18/07/2014,68.42
21/07/2014,69.4
22/07/2014,69.27
23/07/2014,71.29
24/07/2014,74.98
25/07/2014,75.19
28/07/2014,74.92
29/07/2014,73.71
30/07/2014,74.68
31/07/2014,72.65
01/08/2014,72.36
04/08/2014,73.51
05/08/2014,72.69
06/08/2014,72.47
07/08/2014,73.17
08/08/2014,73.06
11/08/2014,73.44
12/08/2014,72.83
13/08/2014,73.77
14/08/2014,74.3
15/08/2014,73.63
18/08/2014,74.59
19/08/2014,75.29
20/08/2014,74.81
21/08/2014,74.57
22/08/2014,74.57
25/08/2014,75.02
26/08/2014,75.96
27/08/2014,74.63
28/08/2014,73.86
29/08/2014,74.82
02/09/2014,76.68
03/09/2014,75.83
04/09/2014,75.95
05/09/2014,77.26
08/09/2014,77.89
09/09/2014,76.67
10/09/2014,77.43
11/09/2014,77.92
12/09/2014,77.48
15/09/2014,74.58
16/09/2014,76.08
17/09/2014,76.43
18/09/2014,77
19/09/2014,77.91
22/09/2014,76.8
23/09/2014,78.29
24/09/2014,78.54
25/09/2014,77.22
26/09/2014,78.79
29/09/2014,79
30/09/2014,79.04
01/10/2014,76.55
02/10/2014,77.08
03/10/2014,77.44
06/10/2014,77.56
07/10/2014,76.29
08/10/2014,77.52
09/10/2014,75.91
10/10/2014,72.91
13/10/2014,72.99
14/10/2014,73.59
15/10/2014,73.21
16/10/2014,72.63
17/10/2014,75.95
20/10/2014,76.95
21/10/2014,78.69
22/10/2014,78.37
23/10/2014,80.04
24/10/2014,80.67
27/10/2014,80.28
28/10/2014,80.77
29/10/2014,75.86
30/10/2014,74.11
31/10/2014,74.99
03/11/2014,73.88
04/11/2014,75.76
05/11/2014,74.83
06/11/2014,75.26
07/11/2014,75.6
10/11/2014,75
11/11/2014,74.61
12/11/2014,74.72
13/11/2014,74.25
14/11/2014,74.88
17/11/2014,74.24
18/11/2014,74.34
19/11/2014,73.33
20/11/2014,73.6
21/11/2014,73.75
24/11/2014,74.01
25/11/2014,75.63
26/11/2014,77.62
28/11/2014,77.7
01/12/2014,75.1
02/12/2014,75.46
03/12/2014,74.88
04/12/2014,75.24
05/12/2014,76.36
08/12/2014,76.52
09/12/2014,76.84
10/12/2014,76.18
11/12/2014,77.73
12/12/2014,77.83
15/12/2014,76.99
16/12/2014,74.69
17/12/2014,76.11
18/12/2014,78.4
19/12/2014,79.88
22/12/2014,81.45
23/12/2014,80.61
24/12/2014,80.77
26/12/2014,80.78
29/12/2014,80.02
30/12/2014,79.22
31/12/2014,78.02
02/01/2015,78.45
05/01/2015,77.19
06/01/2015,76.15
07/01/2015,76.15
08/01/2015,78.18
09/01/2015,77.74
12/01/2015,76.72
13/01/2015,76.45
14/01/2015,76.28
15/01/2015,74.05
16/01/2015,75.18
20/01/2015,76.24
21/01/2015,76.74
22/01/2015,77.65
23/01/2015,77.83
26/01/2015,77.5
27/01/2015,75.78
28/01/2015,76.24
29/01/2015,78
30/01/2015,75.91
02/02/2015,74.99
03/02/2015,75.4
04/02/2015,75.63
05/02/2015,75.62
06/02/2015,74.47
09/02/2015,74.44
10/02/2015,75.19
11/02/2015,76.51
12/02/2015,76.23
13/02/2015,75.74
17/02/2015,75.6
18/02/2015,76.71
19/02/2015,79.42
20/02/2015,79.9
23/02/2015,78.84
24/02/2015,78.45
25/02/2015,79.56
26/02/2015,80.41
27/02/2015,78.97
02/03/2015,79.75
03/03/2015,79.6
04/03/2015,80.9
05/03/2015,81.21
06/03/2015,80
09/03/2015,79.44
10/03/2015,77.55
11/03/2015,77.57
12/03/2015,78.93
13/03/2015,78.05
16/03/2015,78.07
17/03/2015,79.36
18/03/2015,80.91
19/03/2015,82.75
20/03/2015,83.8
23/03/2015,84.43
24/03/2015,85.31
25/03/2015,82.92
26/03/2015,83.01
27/03/2015,83.3
30/03/2015,83.2
31/03/2015,82.22
01/04/2015,81.66
02/04/2015,81.56
06/04/2015,82.44
07/04/2015,82.32
08/04/2015,82.28
09/04/2015,82.17
10/04/2015,82.04
13/04/2015,83.01
14/04/2015,83.52
15/04/2015,82.7
16/04/2015,82.31
17/04/2015,80.78
20/04/2015,83.09
21/04/2015,83.62
22/04/2015,84.63
23/04/2015,82.41
24/04/2015,81.53
27/04/2015,81.91
28/04/2015,80.68
29/04/2015,80.46
30/04/2015,78.77
01/05/2015,78.99
04/05/2015,78.81
05/05/2015,77.56
06/05/2015,78.1
07/05/2015,78.42
08/05/2015,78.51
11/05/2015,78.01
12/05/2015,77.46
13/05/2015,78.44
14/05/2015,81.37
15/05/2015,80.42
18/05/2015,80.88
19/05/2015,80.63
20/05/2015,80.55
21/05/2015,80.48
22/05/2015,80.54
26/05/2015,79.34
27/05/2015,80.55
28/05/2015,80.14
29/05/2015,79.19
